1	4	28	39	48	49	
2	6	18	30	45	46	
2	15	50	57	59	60	
2	18	21	27	30	31	
2	28	35	43	51	52	
2	34	35	50	54	55	
4	13	14	17	51	52	
4	18	29	38	44	45	
4	30	31	54	59	60	
4	36	38	52	53	54	
5	12	24	35	45	46	
5	16	20	27	38	39	
5	18	31	33	59	60	
5	23	27	41	51	52	
6	10	19	28	56	57	
6	11	17	36	40	41	
6	13	19	34	53	54	
7	8	12	24	39	40	
7	12	34	41	55	56	
8	9	41	44	53	54	
9	23	30	33	46	47	
9	41	48	49	53	54	
10	16	23	47	53	54	
10	25	43	47	57	58	
10	28	33	41	42	43	
12	16	20	37	54	55	
12	24	32	40	44	45	
13	14	41	42	44	45
